PULocationID,trip_distance,fare_amount,year
132,16.83,52.0,2018
132,19.93,52.0,2018
75,1.65,6.5,2018
43,1.07,6.5,2018
79,2.64,11.0,2018
137,5.6,21.5,2018
114,0.8,6.0,2018
161,2.4,11.0,2018
114,2.74,14.5,2018
163,1.0,7.0,2018
162,1.4,7.5,2018
141,1.33,7.0,2018
48,0.71,4.5,2018
140,1.02,5.5,2018
138,11.41,40.0,2018
161,5.55,19.5,2018
107,1.0,7.0,2018
170,16.01,52.0,2018
65,2.2,10.0,2018
114,1.1,7.0,2018
68,2.85,13.5,2018
142,2.3,10.0,2018
100,2.7,11.0,2018
74,5.32,16.5,2018
151,0.9,5.0,2018
114,0.21,3.0,2018
238,0.5,4.0,2018
186,2.41,12.5,2018
186,0.9,6.0,2018
68,0.59,5.0,2018
68,1.65,7.5,2018
113,0.99,6.0,2018
237,0.95,6.5,2018
234,0.7,5.5,2018
100,0.8,5.0,2018
163,0.76,5.5,2018
79,4.17,22.5,2018
79,1.2,8.0,2018
161,0.6,5.5,2018
163,3.82,15.0,2018
107,0.6,5.5,2018
132,17.16,52.0,2018
229,1.45,6.5,2018
164,1.2,10.0,2018
233,1.1,9.5,2018
162,1.1,7.5,2018
163,0.68,5.5,2018
237,1.0,6.5,2018
48,0.5,5.0,2018
50,4.15,20.0,2018
107,0.44,4.5,2018
237,1.2,8.5,2018
238,2.4,9.0,2018
164,0.9,8.5,2018
43,1.6,7.5,2018
238,0.9,5.5,2018
263,0.71,5.5,2018
231,1.0,5.0,2018
234,1.0,8.0,2018
249,1.3,8.5,2018
238,7.3,28.0,2018
211,1.3,8.0,2018
236,2.04,16.0,2018
231,0.2,3.5,2018
151,2.54,9.0,2018
186,5.44,18.5,2018
107,4.31,16.0,2018
43,3.54,14.5,2018
170,1.24,7.0,2018
75,3.35,13.0,2018
238,1.1,6.0,2018
230,0.71,5.0,2018
249,0.6,4.5,2018
163,1.24,7.5,2018
132,13.55,39.5,2018
249,2.0,11.0,2018
239,2.87,13.5,2018
264,4.2,15.0,2018
236,1.4,8.5,2018
158,2.0,10.5,2018
262,0.77,5.0,2018
262,3.76,14.0,2018
263,3.1,12.5,2018
230,1.4,11.0,2018
262,0.98,7.5,2018
237,0.96,6.5,2018
79,0.5,4.5,2018
132,16.25,52.0,2018
162,2.2,11.5,2018
107,1.6,10.0,2018
161,5.53,24.0,2018
43,1.0,6.5,2018
141,1.9,12.0,2018
132,17.98,52.0,2018
170,0.54,3.5,2018
87,5.9,18.5,2018
132,18.1,52.0,2018
141,0.9,5.0,2018
163,2.2,10.0,2018
114,4.65,22.0,2018
236,1.67,9.0,2018
230,0.74,6.5,2018
